Suburb,Code
Chatswood,2067
Chatswood West,2067
Cheero Point,2083
Cheltenham,2119
Cherrybrook,2126
Chester Hill,2162
Chifley,2036
Chippendale,2008
Chipping Norton,2170
Chiswick,2046
Chullora,2190
Church Point,2105
Clarendon,2756
Claymore,2559
Clemton Park,2206
Clontarf,2093
Clovelly,2031
Clyde,2142
Cobbitty,2570
Colebee,2761
Collaroy,2097
Colo,2756
Colo Heights,2756
Colyton,2760
Como,2226
Concord,2137
Concord West,2138
Condell Park,2200
Connells Point,2221
Constitution Hill,2145
Coogee,2034
Cornwallis,2756
Cottage Point,2084
Couridjah,2571
Cowan,2081
Cremorne,2090
Cremorne Point,2090
Crestwood,2153
Cromer,2099
Cronulla,2230
Crows Nest,2065
Croydon,2132
Croydon Park,2133
Curl Curl,2096
Currans Hill,2567
Daceyville,2032
Dangar Island,2083
Darling Point,2027
Darlinghurst,2010
Darlington,2008
Davidson,2085
Dawes Point,2000
Dean Park,2761
Dee Why,2099
Denham Court,2565
Denistone,2114
Denistone East,2112
Denistone West,2114
Dharruk,2770
Dolans Bay,2229
Dolls Point,2219
Double Bay,2028
Douglas Park,2569
Dover Heights,2030
Drummoyne,2047
Duffys Forest,2084
Dulwich Hill,2203
Dundas,2117
Dundas Valley,2117
Dural,2158
Eagle Vale,2558
Earlwood,2206
East Hills,2213
East Killara,2071
East Lindfield,2070
East Ryde,2113
Eastgardens,2036
Eastlakes,2018
Eastwood,2122
Ebenezer,2756
Edensor Park,2176
Edgecliff,2027
Edmondson Park,2174
Elanora Heights,2101
Elderslie,2570
Elizabeth Bay,2011
Ellis Lane,2570
Elvina Bay,2105
Emerton,2770
Emu Heights,2750
Emu Plains,2750
Enfield,2136
Engadine,2233
Englorie Park,2560
Enmore,2042
Epping,2121
Ermington,2115
Erskineville,2043
Eschol Park,2558
Eveleigh,2015
Fairfield,2165
Fairfield East,2165
Fairfield Heights,2165
Fairfield West,2165
Fairlight,2094
Fiddletown,2159
Five Dock,2046
Forest Lodge,2037
Forestville,2087
Freemans Reach,2756
Frenchs Forest,2086
Freshwater,2096
Galston,2159
Georges Hall,2198
Gilead,2560
Girraween,2145
Gladesville,2111
Glebe,2037
Glen Alpine,2560
Glendenning,2761
Glenfield,2167
Glenhaven,2156
Glenmore,2570
Glenmore Park,2745
Glenorie,2157
Glenwood,2768
Glossodia,2756
Gordon,2072
Granville,2142
Grasmere,2570
Grays Point,2232
Green Valley,2168
Greenacre,2190
Greendale,2745
Greenfield Park,2176
Greenwich,2065
Gregory Hills,2557
Greystanes,2145
Grose Vale,2753
Grose Wold,2753
Guildford,2161
Guildford West,2161
Gymea,2227
Gymea Bay,2227
Haberfield,2045
Hammondville,2170
Harrington Park,2567
Harris Park,2150
Hassall Grove,2761
Hawkesbury Heights,2777
Haymarket,2000
Heathcote,2233
Hebersham,2770
Heckenberg,2168
Henley,2111
Hillsdale,2036
Hinchinbrook,2168
Hobartville,2753
Holroyd,2142
Holsworthy,2173
Homebush,2140
Homebush Bay,2127
Homebush West,2140
Horningsea Park,2171
Hornsby,2077
Hornsby Heights,2077
Horsley Park,2175
Hoxton Park,2171
Hunters Hill,2110
Huntingwood,2148
Huntleys Cove,2111
Huntleys Point,2111
Hurlstone Park,2193
Hurstville,2220
Hurstville Grove,2220
Illawong,2234
Ingleburn,2565
Ingleside,2101
Jamisontown,2750
Jannali,2226
Kangaroo Point,2224
Kareela,2232
Kearns,2558
Kellyville,2155
Kellyville Ridge,2155
Kemps Creek,2178
Kensington,2033
Kenthurst,2156
Kentlyn,2560
Killara,2071
Killarney Heights,2087
Kings Cross,2011
Kings Langley,2147
Kings Park,2148
Kingsford,2032
Kingsgrove,2208
Kirkham,2570
Kirrawee,2232
Kirribilli,2061
Kogarah,2217
Kogarah Bay,2217
Kurnell,2231
Kyeemagh,2216
Kyle Bay,2221
La Perouse,2036
Lakemba,2195
Lakesland,2572
Lalor Park,2147
Lane Cove,2066
Lane Cove North,2066
Lane Cove West,2066
Lansdowne,2163
Lansvale,2166
Lavender Bay,2060
Leets Vale,2756
Leichhardt,2040
Leonay,2750
Leppington,2179
Lethbridge Park,2770
Leumeah,2560
Lewisham,2049
Liberty Grove,2138
Lidcombe,2141
Lilli Pilli,2229
Lilyfield,2040
Lindfield,2070
Little Bay,2036
Liverpool,2170
Liverpool South,2170
Loftus,2232
Londonderry,2753
Long Point,2564
Longueville,2066
Lovett Bay,2105
Lower Portland,2756
Lucas Heights,2234
Luddenham,2745
Lugarno,2210
Lurnea,2170
Macquarie Fields,2564
Macquarie Links,2565
Macquarie Park,2113
Macquarie University,2109
Maianbar,2230
Malabar,2036
Maldon,2571
Manly,2095
Manly Vale,2093
Maraylya,2765
Marayong,2148
Maroota,2756
Maroubra,2035
Marrickville,2204
Marsden Park,2765
Marsfield,2122
Mascot,2020
Matraville,2036
Mays Hill,2145
Mcgraths Hill,2756
Mcmahons Point,2060
Meadowbank,2114
Mellong,2756
Melrose Park,2114
Menai,2234
Menangle,2568
Menangle Park,2563
Merrylands,2160
Merrylands West,2160
Middle Cove,2068
Middle Dural,2158
Middleton Grange,2171
Miller,2168
Millers Point,2000
Milperra,2214
Milsons Passage,2083
Milsons Point,2061
Minchinbury,2770
Minto,2566
Minto Heights,2566
Miranda,2228
Mona Vale,2103
Monterey,2217
Mooney Mooney,2083
Moore Park,2021
Moorebank,2170
Morning Bay,2105
Mortdale,2223
Mortlake,2137
Mosman,2088
Mount Annan,2567
Mount Colah,2079
Mount Druitt,2770
Mount Hunter,2570
Mount Kuring-Gai,2080
Mount Lewis,2190
Mount Pritchard,2170
Mount Vernon,2178
Mowbray Park,2571
Mt Druitt,2770
Mulgoa,2745
Mulgrave,2756
Narellan,2567
Narellan Vale,2567
Naremburn,2065
Narrabeen,2101
Narraweena,2099
Narwee,2209
Nattai,2570
Nelson,2765
Neutral Bay,2089
Newington,2127
Newport,2106
Newport Beach,2106
Newtown,2042
Normanhurst,2076
North Balgowlah,2093
North Bondi,2026
North Curl Curl,2099
North Epping,2121
North Manly,2100
North Narrabeen,2101
North Parramatta,2151
North Rocks,2151
North Ryde,2113
North St Marys,2760
North Strathfield,2137
North Sydney,2060
North Turramurra,2074
North Wahroonga,2076
North Willoughby,2068
Northbridge,2063
Northmead,2152
Northwood,2066
Oakdale,2570
Oakhurst,2761
Oakville,2765
Oatlands,2117
Oatley,2223
Old Guildford,2161
Old Toongabbie,2146
Oran Park,2570
Orangeville,2570
Oxford Falls,2100
Oxley Park,2760
Oyster Bay,2225
Paddington,2021
Padstow,2211
Padstow Heights,2211
Pagewood,2035
Palm Beach,2108
Panania,2213
Parklea,2768
Parramatta,2150
Peakhurst,2210
Peakhurst Heights,2210
Pemulwuy,2145
Pendle Hill,2145
Pennant Hills,2120
Penrith,2750
Penrith South,2750
Penshurst,2222
Petersham,2049
Pheasants Nest,2574
Phillip Bay,2036
Picnic Point,2213
Picton,2571
Pitt Town,2756
Pleasure Point,2172
Plumpton,2761
Point Piper,2027
Port Botany,2036
Port Hacking,2229
Potts Hill,2143
Potts Point,2011
Prairiewood,2176
Prestons,2170
Prospect,2148
Punchbowl,2196
Putney,2112
Pymble,2073
Pyrmont,2009
Queens Park,2022
Queenscliff,2096
Raby,2566
Ramsgate,2217
Ramsgate Beach,2217
Randwick,2031
Razorback,2571
Redfern,2016
Regents Park,2143
Regentville,2745
Revesby,2212
Revesby Heights,2212
Rhodes,2138
Richmond,2753
Riverstone,2765
Riverview,2066
Riverwood,2210
Rockdale,2216
Rodd Point,2046
Rose Bay,2029
Rosebery,2018
Rosehill,2142
Roselands,2196
Rosemeadow,2560
Roseville,2069
Roseville Chase,2069
Rossmore,2557
Rouse Hill,2155
Royal North Shore Hospital,2065
Rozelle,2039
Ruse,2560
Rushcutters Bay,2011
Russell Lea,2046
Rydalmere,2116
Ryde,2112
Sackville,2756
Sackville North,2756
Sadleir,2168
Sandringham,2219
Sandy Point,2172
Sans Souci,2219
Scheyville,2756
Scotland Island,2105
Seaforth,2092
Sefton,2162
Seven Hills,2147
Shalvey,2770
Silverwater,2128
Smeaton Grange,2567
Smithfield,2164
South Coogee,2034
South Granville,2142
South Hurstville,2221
South Maroota,2756
South Penrith,2750
South Turramurra,2074
South Wentworthville,2145
South Windsor,2756
Spring Farm,2570
Springwood,2777
St Andrews,2566
St Helens Park,2560
St Ives,2075
St Ives Chase,2075
St Johns Park,2176
St Leonards,2065
St Marys,2760
St Marys East,2760
St Marys South,2760
St Peters,2044
Stanhope Gardens,2768
Stanmore,2048
Strathfield,2135
Strathfield South,2136
Summer Hill,2130
Sun Valley,2777
Surry Hills,2010
Sutherland,2232
Sydenham,2044
Sydney,2000
Sydney Domestic Airport,2020
Sydney International Airport,2020
Sydney Olympic Park,2127
Sydney South,2000
Sylvania,2224
Sylvania Waters,2224
Tahmoor,2573
Tamarama,2026
Taren Point,2229
Telopea,2117
Tempe,2044
Tennyson Point,2111
Terrey Hills,2084
The Oaks,2570
The Rocks,2000
The University Of Sydney,2006
Theresa Park,2570
Thirlmere,2572
Thornleigh,2120
Toongabbie,2146
Tregear,2770
Turramurra,2074
Turrella,2205
Ultimo,2007
Unsw Sydney,2052
Upper Colo,2756
Valley Heights,2777
Varroville,2566
Vaucluse,2030
Villawood,2163
Vineyard,2765
Voyager Point,2172
Wahroonga,2076
Waitara,2077
Wakeley,2176
Wallacia,2745
Wareemba,2046
Warrawee,2074
Warriewood,2102
Warringah Mall,2100
Warwick Farm,2170
Waterfall,2233
Waterloo,2017
Watsons Bay,2030
Wattle Grove,2173
Waverley,2024
Waverton,2060
Wedderburn,2560
Wentworth Point,2127
Wentworthville,2145
Werombi,2570
West Hoxton,2171
West Pennant Hills,2125
West Pymble,2073
West Ryde,2114
Westleigh,2120
Westmead,2145
Wetherill Park,2164
Whalan,2770
Wilberforce,2756
Wiley Park,2195
Willmot,2770
Willoughby,2068
Willoughby East,2068
Willoughby North,2068
Wilton,2571
Windsor,2756
Windsor Downs,2756
Winmalee,2777
Winston Hills,2153
Wolli Creek,2205
Wollstonecraft,2065
Woodbine,2560
Woodpark,2164
Woollahra,2025
Woolloomooloo,2011
Woolooware,2230
Woolwich,2110
Woronora,2232
Woronora Heights,2233
Yagoona,2199
Yanderra,2574
Yarramundi,2753
Yarrawarrah,2233
Yellow Rock,2777
Yennora,2161
Yowie Bay,2228
Zetland,2017
